features,count,auc
"['L5_Entropy', 'L16_Entropy', 'L0_Fiedler', 'L13_HFER', 'L2_Fiedler']",5,1.0
"['L5_Entropy', 'L16_Entropy', 'L0_Fiedler', 'L13_HFER', 'L4_Fiedler']",5,1.0
"['L5_Entropy', 'L16_Entropy', 'L10_Fiedler', 'L10_Entropy', 'L4_Fiedler']",5,1.0
"['L5_Entropy', 'L16_Entropy', 'L10_Fiedler', 'L12_HFER', 'L19_Entropy']",5,1.0
"['L5_Entropy', 'L16_Entropy', 'L10_Fiedler', 'L12_HFER', 'L2_Fiedler']",5,1.0
"['L5_Entropy', 'L16_Entropy', 'L10_Fiedler', 'L12_HFER', 'L4_Fiedler']",5,1.0
"['L5_Entropy', 'L16_Entropy', 'L10_Fiedler', 'L19_Entropy', 'L23_Fiedler']",5,1.0
"['L5_Entropy', 'L16_Entropy', 'L10_Fiedler', 'L19_Entropy', 'L13_HFER']",5,1.0
"['L5_Entropy', 'L16_Entropy', 'L10_Fiedler', 'L19_Entropy', 'L2_Fiedler']",5,1.0
"['L5_Entropy', 'L16_Entropy', 'L10_Fiedler', 'L19_Entropy', 'L17_Entropy']",5,1.0
"['L5_Entropy', 'L16_Entropy', 'L10_Fiedler', 'L23_Fiedler', 'L13_HFER']",5,1.0
"['L5_Entropy', 'L16_Entropy', 'L10_Fiedler', 'L23_Fiedler', 'L4_Fiedler']",5,1.0
"['L5_Entropy', 'L16_Entropy', 'L10_Fiedler', 'L13_HFER', 'L8_Entropy']",5,1.0
"['L5_Entropy', 'L16_Entropy', 'L10_Fiedler', 'L2_Fiedler', 'L4_Fiedler']",5,1.0
"['L5_Entropy', 'L16_Entropy', 'L10_Fiedler', 'L2_Fiedler', 'L8_Entropy']",5,1.0
"['L5_Entropy', 'L16_Entropy', 'L10_Entropy', 'L19_Entropy', 'L2_Fiedler']",5,1.0
"['L5_Entropy', 'L16_Entropy', 'L10_Entropy', 'L2_Fiedler', 'L4_Fiedler']",5,1.0
"['L5_Entropy', 'L16_Entropy', 'L12_HFER', 'L23_Fiedler', 'L4_Fiedler']",5,1.0
"['L5_Entropy', 'L16_Entropy', 'L12_HFER', 'L2_Fiedler', 'L4_Fiedler']",5,1.0
"['L5_Entropy', 'L16_Entropy', 'L23_Fiedler', 'L13_HFER', 'L4_Fiedler']",5,1.0
"['L5_Entropy', 'L16_Entropy', 'L23_Fiedler', 'L9_Entropy', 'L4_Fiedler']",5,1.0
"['L5_Entropy', 'L16_Entropy', 'L23_Fiedler', 'L2_Fiedler', 'L4_Fiedler']",5,1.0
"['L5_Entropy', 'L0_Fiedler', 'L10_Fiedler', 'L13_HFER', 'L17_Entropy']",5,1.0
"['L5_Entropy', 'L0_Fiedler', 'L10_Entropy', 'L2_Fiedler', 'L4_Fiedler']",5,1.0
"['L5_Entropy', 'L0_Fiedler', 'L12_HFER', 'L19_Entropy', 'L17_Entropy']",5,1.0
"['L5_Entropy', 'L0_Fiedler', 'L12_HFER', 'L13_HFER', 'L2_Fiedler']",5,1.0
"['L5_Entropy', 'L0_Fiedler', 'L19_Entropy', 'L13_HFER', 'L17_Entropy']",5,1.0
"['L5_Entropy', 'L0_Fiedler', 'L19_Entropy', 'L2_Fiedler', 'L17_Entropy']",5,1.0
"['L5_Entropy', 'L0_Fiedler', 'L23_Fiedler', 'L13_HFER', 'L2_Fiedler']",5,1.0
"['L5_Entropy', 'L0_Fiedler', 'L13_HFER', 'L2_Fiedler', 'L4_Fiedler']",5,1.0
"['L5_Entropy', 'L0_Fiedler', 'L13_HFER', 'L2_Fiedler', 'L17_Entropy']",5,1.0
"['L5_Entropy', 'L0_Fiedler', 'L13_HFER', 'L4_Fiedler', 'L17_Entropy']",5,1.0
"['L5_Entropy', 'L0_Fiedler', 'L13_HFER', 'L8_Entropy', 'L17_Entropy']",5,1.0
"['L5_Entropy', 'L0_Fiedler', 'L2_Fiedler', 'L4_Fiedler', 'L17_Entropy']",5,1.0
"['L5_Entropy', 'L10_Fiedler', 'L10_Entropy', 'L19_Entropy', 'L2_Fiedler']",5,1.0
"['L5_Entropy', 'L10_Fiedler', 'L10_Entropy', 'L14_HFER', 'L4_Fiedler']",5,1.0
"['L5_Entropy', 'L10_Fiedler', 'L10_Entropy', 'L2_Fiedler', 'L4_Fiedler']",5,1.0
"['L5_Entropy', 'L10_Fiedler', 'L12_HFER', 'L19_Entropy', 'L2_Fiedler']",5,1.0
"['L5_Entropy', 'L10_Fiedler', 'L12_HFER', 'L19_Entropy', 'L17_Entropy']",5,1.0
"['L5_Entropy', 'L10_Fiedler', 'L12_HFER', 'L13_HFER', 'L2_Fiedler']",5,1.0
"['L5_Entropy', 'L10_Fiedler', 'L12_HFER', 'L2_Fiedler', 'L4_Fiedler']",5,1.0
"['L5_Entropy', 'L10_Fiedler', 'L12_HFER', 'L2_Fiedler', 'L8_Entropy']",5,1.0
